Name,rank,region,age,height,weight,run400,run5k,candj,snatch,deadlift,backsq,pullups,sum,train,experience,schedule,,,,
JeffTincher,2,Mid Atlantic,46,69,185,57,1081,245,190,480,355,43,1313,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|,,,,
ZackBayag,6,South East,44,69,174,62,1320,215,175,335,335,65,1125,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|,,,,
BrandonNolin,14,Central East,36,71,220,74,1402,341,280,525,425,30,1601,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,I usually only do 1 workout a day|,,,,
ScottTasaka,5,Canada West,44,68,167,58,1080,235,200,435,335,60,1265,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|,I usually only do 1 workout a day|,,,,
ErwinvanBeek,4,Netherlands,42,70,190,60,1097,276,220,551,463,66,1576,I write my own programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|,,,,
ChadKarlewicz,6,North West,49,69,180,60,1283,245,185,400,375,47,1252,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,I usually only do 1 workout a day|,,,,
JodyHendrix,4,North Central,51,70,182,75,1320,265,210,405,325,41,1246,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,I usually only do 1 workout a day|,,,,
JamesFitzGerald,4,South West,47,69,176,58,1065,275,215,485,385,55,1415,I write my own programming|,I train other people|,I usually only do 1 workout a day|,,,,
ThomasHyland,10,Southern California,39,67,185,67,1468,325,255,565,440,72,1657,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I do multiple workouts in a day 1x a week|,,,,
KyleKasperbauer,1,North Central,32,68,190,51,1132,345,265,508,508,71,1697,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|",I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|I do multiple workouts in a day 1x a week|I do multiple workouts in a day 2x a week|I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest fewer than 4 days per month|I typically rest 4 or more days per month|,,,,
DavidJones,7,Mid Atlantic,42,69,189,68,1166,285,235,503,425,40,1488,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I do multiple workouts in a day 1x a week|I do multiple workouts in a day 2x a week|I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
JasonGrubb,1,South West,39,69,185,63,1239,295,225,485,395,42,1442,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,I usually only do 1 workout a day|I do multiple workouts in a day 1x a week|I typically rest 4 or more days per month|,,,,
TiagoLopes,17,Latin America,37,67,168,68,1290,265,205,415,355,50,1290,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I do multiple workouts in a day 2x a week|,,,,
VadimDarchinov,9,Russia,48,66,170,75,1500,265,216,441,441,52,1415,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|I do multiple workouts in a day 2x a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
MarcoCasali,2,Chille,48,69,185,58,1345,276,220,441,445,50,1432,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
JustinKing,10,North Central,32,73,225,61,1202,365,300,535,515,47,1762,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|",I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|,I usually only do 1 workout a day|I strictly schedule my rest days|,,,,
SteveHamming,13,Central East,55,72,202,68,1380,255,205,425,355,45,1285,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I have had a life changing experience due to CrossFit|,I usually only do 1 workout a day|I strictly schedule my rest days|,,,,
RandalLane,18,South East,46,72,192,65,1200,255,195,455,375,42,1322,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|,I usually only do 1 workout a day|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
YuriiHanson,3,North West,38,69,187,57,1091,301,246,405,405,0,1357,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
MattNicholson,10,Australia,51,67,176,60,1145,242,195,495,429,45,1406,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
JoeCorvo,7,North Central,37,72,205,67,1277,275,225,500,400,40,1440,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|,I usually only do 1 workout a day|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
ToddMcKinnon,14,Northern California,43,74,193,65,1285,245,190,395,350,55,1235,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
ChrisWeir,17,Central East,43,70,178,60,1269,265,215,425,385,60,1350,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
KarlDyall,3,Sweeden,48,70,185,62,1187,298,220,494,386,63,1461,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
JayBradley,4,South East,48,65,153,80,1280,235,190,405,325,53,1208,"I workout mostly at home, work, or a traditional gym|I have a coach who determines my programming|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I train other people|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
MikeEberts,6,Canada West,37,67,182,60,1253,285,230,500,425,45,1485,"I workout mostly at home, work, or a traditional gym|I have a coach who determines my programming|I write my own programming|",I began CrossFit by trying it alone (without a coach)|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
ChristianBiagi,4,North West,47,70,193,61,1317,278,205,425,405,53,1366,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
JoeAmes,1,North East,50,73,195,60,1253,255,200,445,325,45,1270,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
JustinBrown,14,Southern California,30,72,205,75,900,245,155,375,315,15,1105,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
MattDettmann,19,North Central,41,70,179,68,1331,225,185,345,305,35,1095,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
JasonKelly,9,South West,37,72,185,61,1238,305,242,535,465,50,1597,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
BillyGoodson,11,South East,50,69,199,78,1598,245,210,445,410,25,1335,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
JoeyLochner,3,North West,51,72,190,68,1552,245,190,465,365,47,1312,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
BrianCampbell,6,North East,36,71,185,71,1310,255,195,405,315,53,1223,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
IainMaclean,10,Canada West,37,70,196,56,1153,280,235,485,375,41,1416,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,I usually only do 1 workout a day|I typically rest 4 or more days per month|,,,,
DionWalmsley,3,Australia,48,70,179,55,1078,231,187,441,331,44,1234,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|I typically rest fewer than 4 days per month|,,,,
RonMathews,1,Southern California,45,75,237,62,1227,295,245,585,485,53,1663,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|I typically rest fewer than 4 days per month|,,,,
BobLeFavi,19,South East,54,64,168,68,1300,225,190,405,405,40,1265,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
AdamIzzo,16,North East,37,69,175,69,1178,310,240,455,455,68,1528,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
BrianYoak,18,Central East,40,68,179,63,1215,290,210,505,405,45,1455,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 1x a week|,,,,
SimonPaquette,26,Canada East,26,71,205,60,1215,325,255,470,420,62,1532,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|,I do multiple workouts in a day 2x a week|,,,,
AlvaroLopez,83,Central America,29,68,180,66,1290,290,235,450,365,63,1403,I workout mostly at a CrossFit Affiliate|Decline to answer|,I began CrossFit with a coach (e.g. at an affiliate)|,I usually only do 1 workout a day|I typically rest fewer than 4 days per month|,,,,
RobForte,12,Australia,28,69,194,59,1130,325,270,522,430,53,1600,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,Decline to answer|,I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
SteveJohnson,11,South West,31,68,169,65,1210,305,245,520,450,70,1590,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
LukeSchafer,22,North Central,21,69,165,54,1140,245,165,350,350,40,1150,"I workout mostly at home, work, or a traditional gym|I incorporate CrossFit.com workouts|I write my own programming|",I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 1x a week|I typically rest fewer than 4 days per month|,,,,
AlbertPolice,8,Northern California,47,64,166,73,1320,235,220,445,355,45,1300,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 2x a week|,,,,
GordMackinnon,20,Canada West,56,73,205,68,1280,245,200,425,300,30,1200,I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 2x a week|I typically rest fewer than 4 days per month|,,,,
JamesHobart,21,Central East,28,68,185,65,1250,325,260,485,405,60,1535,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 3+ times a week|,,,,
SamDancer,32,South West,27,71,215,68,1380,365,315,655,535,65,1935,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
ZekeGrove,30,Australia,26,67,182,62,1200,348,275,517,440,66,1646,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
KevinManuel,17,Australia,28,74,198,65,1220,352,286,528,451,55,1672,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
ColeSager,5,North West,24,70,207,56,1200,340,275,455,475,68,1613,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit by trying it alone (without a coach)|,I usually only do 1 workout a day|I do multiple workouts in a day 2x a week|I typically rest fewer than 4 days per month|,,,,
PatrickVellner,2,Canada East,30,71,195,66,1130,355,285,595,455,64,1754,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|I have a coach who determines my programming|I write my own programming|I record my workouts|",I began CrossFit by trying it alone (without a coach)|,I usually only do 1 workout a day|I typically rest fewer than 4 days per month|,,,,
JustinHernandez,85,South Central,28,68,181,98,1900,330,265,505,445,45,1590,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|I strictly schedule my rest days|,,,,
DanLoewenberg,19,North East,40,69,180,57,1221,275,205,465,395,61,1401,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|,I do multiple workouts in a day 2x a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
JonPera,18,Southern California,31,70,202,50,1225,350,280,500,475,53,1658,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
ScottDeTore,5,North East,49,66,170,79,1245,245,190,435,390,42,1302,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|,I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
NathanLoren,3,North West,42,72,188,59,1189,260,215,500,400,60,1435,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|,I typically rest 4 or more days per month|,,,,
TommyHackenbruck,6,South West,33,73,210,57,1320,340,285,535,525,60,1745,I workout mostly at a CrossFit Affiliate|Decline to answer|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
ZacharyForrest,42,South West,29,67,180,61,1200,335,265,500,430,74,1604,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 1x a week|I typically rest 4 or more days per month|,,,,
DanielTyminski,31,North East,28,69,195,55,1118,340,290,525,425,65,1645,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
ChadMackay,9,Australia,33,73,225,60,1200,331,287,485,441,45,1589,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
NealMaddox,9,Northern California,37,70,205,61,1200,345,295,505,500,60,1705,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|,,,,
NealMaddox,1,Northern California,37,70,205,61,1170,345,295,505,500,60,1705,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|,,,,
MattChan,2,South West,37,69,218,60,1318,345,300,572,445,50,1712,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I record my workouts|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I do multiple workouts in a day 2x a week|I strictly schedule my rest days|I typically rest fewer than 4 days per month|I typically rest 4 or more days per month|,,,,
BenKelly,13,North East,44,71,197,63,1197,255,195,445,410,47,1352,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I strictly schedule my rest days|,,,,
ChrisSpealler,28,South West,35,65,147,63,1172,285,230,425,380,106,1426,I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
ChrisSpealler,3,South West,35,65,147,63,1172,285,230,425,380,106,1426,I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I usually only do 1 workout a day|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
DanBailey,4,Southern California,30,67,180,47,1140,305,265,540,405,58,1573,I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
DanBailey,19,Southern California,30,67,180,47,1140,305,265,540,405,65,1580,I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
AustinMalleolo,8,North East,27,65,175,59,1221,325,255,570,420,65,1635,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 2x a week|I strictly schedule my rest days|,,,,
JeremyHerider,12,Southern California,43,70,181,65,1250,285,225,545,435,52,1542,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 2x a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
WesPiatt,35,Northern California,29,71,195,59,1200,340,280,545,425,60,1650,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|,,,,
WillMoorad,10,Central East,25,69,185,68,1300,355,310,525,460,50,1700,"I workout mostly at home, work, or a traditional gym|I have a coach who determines my programming|I write my own programming|I record my workouts|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|,,,,
RichardFroningJr.,1,Central East,27,69,195,65,1200,370,305,570,475,75,1795,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|I incorporate CrossFit.com workouts|I write my own programming|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|,,,,4+ years|
PeteShaw,29,Canada East,25,73,215,61,1207,302,235,485,385,53,1460,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
CraigKenney,11,North East,28,72,202,62,1193,335,285,525,425,59,1629,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
JeffGermond,41,South Central,33,68,193,65,1316,325,260,465,430,50,1530,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
AntHaynes,27,Asia,25,70,196,54,1150,287,209,485,375,60,1416,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
MichaelMogard,46,Asia,31,69,183,60,1260,330,290,561,471,53,1705,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
MattHathcock,29,South West,29,69,200,68,1218,315,245,495,395,80,1530,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|,,,,
EricBartlett,11,Central East,48,67,175,70,1390,225,175,405,325,46,1176,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|I strictly schedule my rest days|,,,,
AlexVigneault,8,Canada East,22,71,203,62,1200,325,285,565,450,55,1680,I incorporate CrossFit.com workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
JordanTroyan,20,Mid Atlantic,30,70,180,55,1115,305,255,485,410,50,1505,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 1x a week|I typically rest 4 or more days per month|,,,,
JamesNewbury,5,Australia,24,70,190,53,1124,276,220,496,375,85,1452,I have a coach who determines my programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|,,,,
LoganCollins,11,South Central,23,68,167,55,1080,305,245,500,435,90,1575,"I workout mostly at home, work, or a traditional gym|I write my own programming|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|,,,,
BryanMiller,31,Northern California,24,73,215,63,1170,335,275,500,430,52,1592,I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|,,,,
